frequency,Rtings.com,Harman IEM,SenseLab Aizu,SoundGuys.com Studio Curve,SoundGuys.com Headphone Preference Curve,Type 5128 Diffuse Field Response
122.655464,0.6094154311,1.837178881,0.8409866937,-0.05178851845,1.110502785,-2.117763173
123.544943,0.5764371952,1.778960939,0.8280321127,-0.051788,1.078632504,-2.117763173
124.440873,0.5435693497,1.719685868,0.8157838463,-0.05177027883,1.044303252,-2.117763173
125.3433,0.511435672,1.659152192,0.8038019531,-0.05173212833,1.012379769,-2.117651668
126.252272,0.4786526956,1.597734001,0.7922795078,-0.0516093632,0.9847454497,-2.116394679
127.167835,0.4475931175,1.537078179,0.7814178427,-0.05146513536,0.9595268352,-2.114009812
128.090037,0.4156360819,1.478880443,0.7714267972,-0.05133733668,0.9365086385,-2.110848807
129.018927,0.3848356266,1.425367284,0.762524973,-0.05120859451,0.9144017129,-2.107279434
129.954554,0.3547151937,1.374236027,0.7549399963,-0.05107873636,0.8927347982,-2.103685994
130.896965,0.3237603631,1.323799945,0.7488960002,-0.05094807744,0.8712778981,-2.100469817
131.846211,0.2939635051,1.272596025,0.7437157505,-0.0508168401,0.8498764583,-2.09804979
132.80234,0.2648417278,1.220369244,0.7389168122,-0.05068446395,0.8283761534,-2.096452603
133.765403,0.2349048672,1.167239079,0.7345201521,-0.0505506089,0.8061911312,-2.095099232
134.73545,0.2059297258,1.11361716,0.7305474189,-0.0504158958,0.7855530612,-2.093915892
135.712532,0.1770749574,1.05934388,0.7270209623,-0.05028065327,0.767523543,-2.092838975
136.6967,0.1489510864,1.004022093,0.7239638513,-0.0501442696,0.7498770978,-2.091801985
137.688004,0.1200012676,0.9478687713,0.7213998942,-0.05000640788,0.7321469678,-2.090735457
138.686497,0.09219691706,0.8914841533,0.719353389,-0.04986768593,0.7135734003,-2.08956686
139.692232,0.06523960376,0.8351104888,0.7178001673,-0.04972837185,0.6935042217,-2.088220511
140.705259,0.038219414,0.7805973861,0.7166190979,-0.04958811976,0.672736492,-2.086641809
141.725633,0.01118261444,0.7274157321,0.7156738926,-0.04944687685,0.6523323248,-2.084872598
142.753407,-0.01568079771,0.674164348,0.714822084,-0.04930443755,0.6282061698,-2.082942549
143.788633,-0.04165375517,0.6200993179,0.713914835,-0.04916063225,0.5956541304,-2.080879592
